"","k","distance","kernel","scale","classif.ce"
"231",14,1,"gaussian",FALSE,0.333766233766234
"232",14,3,"inv",FALSE,0.333766233766234
"233",9,1,"rectangular",TRUE,0.333809523809524
"234",7,1,"rectangular",FALSE,0.333896103896104
"235",7,2,"gaussian",FALSE,0.334588744588745
"236",15,3,"triangular",FALSE,0.334761904761905
"237",12,1,"inv",FALSE,0.334848484848485
"238",14,3,"triangular",FALSE,0.335670995670996
"239",7,3,"inv",TRUE,0.335714285714286
"240",9,1,"gaussian",FALSE,0.336450216450216
"241",12,1,"gaussian",FALSE,0.336450216450216
"242",10,3,"gaussian",TRUE,0.336536796536797
"243",12,3,"triangular",FALSE,0.336666666666667
"244",14,3,"inv",TRUE,0.336709956709957
"245",10,1,"inv",FALSE,0.337489177489177
"246",15,3,"gaussian",TRUE,0.338441558441558
"247",15,3,"inv",FALSE,0.338441558441558
"248",14,3,"gaussian",TRUE,0.338528138528139
"249",10,1,"gaussian",FALSE,0.339220779220779
"250",15,2,"inv",FALSE,0.341212121212121
"251",15,3,"inv",TRUE,0.341255411255411
"252",12,3,"inv",FALSE,0.341255411255411
"253",14,2,"inv",FALSE,0.341298701298701
"254",7,3,"gaussian",FALSE,0.342251082251082
"255",9,2,"inv",FALSE,0.342337662337662
"256",9,2,"rectangular",TRUE,0.342337662337662
"257",14,3,"gaussian",FALSE,0.343073593073593
"258",7,3,"gaussian",TRUE,0.343160173160173
"259",15,3,"gaussian",FALSE,0.343160173160173
"260",10,2,"rectangular",TRUE,0.344112554112554
"261",5,3,"rectangular",TRUE,0.344112554112554
"262",10,2,"inv",FALSE,0.344199134199134
"263",7,3,"rectangular",FALSE,0.346969696969697
"264",12,2,"inv",FALSE,0.347878787878788
"265",9,2,"gaussian",FALSE,0.348961038961039
"266",15,2,"gaussian",FALSE,0.3495670995671
"267",14,2,"gaussian",FALSE,0.34965367965368
"268",9,1,"rectangular",FALSE,0.352380952380952
"269",7,2,"rectangular",TRUE,0.352467532467532
"270",10,2,"gaussian",FALSE,0.353593073593074
"271",12,2,"rectangular",TRUE,0.354415584415584
"272",7,2,"rectangular",FALSE,0.354415584415584
"273",9,3,"rectangular",TRUE,0.354502164502164
"274",12,3,"gaussian",FALSE,0.355324675324675
"275",10,3,"rectangular",TRUE,0.357316017316017
"276",10,3,"inv",FALSE,0.357402597402597
"277",9,3,"gaussian",FALSE,0.358138528138528
"278",12,2,"gaussian",FALSE,0.358225108225108
"279",9,3,"inv",FALSE,0.359047619047619
"280",10,1,"rectangular",FALSE,0.35995670995671
"281",15,1,"rectangular",FALSE,0.361731601731602
"282",14,1,"rectangular",FALSE,0.362770562770563
"283",10,3,"gaussian",FALSE,0.362900432900433
"284",15,2,"rectangular",TRUE,0.364588744588745
"285",14,2,"rectangular",TRUE,0.367359307359307
"286",10,2,"rectangular",FALSE,0.367489177489177
"287",7,3,"rectangular",TRUE,0.367532467532468
"288",15,3,"rectangular",FALSE,0.369220779220779
"289",14,3,"rectangular",TRUE,0.37025974025974
"290",12,3,"rectangular",TRUE,0.371298701298701
"291",14,3,"rectangular",FALSE,0.371991341991342
"292",9,2,"rectangular",FALSE,0.372164502164502
"293",12,1,"rectangular",FALSE,0.374848484848485
"294",15,2,"rectangular",FALSE,0.377532467532467
"295",15,3,"rectangular",TRUE,0.383376623376623
"296",14,2,"rectangular",FALSE,0.386060606060606
"297",12,2,"rectangular",FALSE,0.388701298701299
"298",12,3,"rectangular",FALSE,0.38974025974026
"299",9,3,"rectangular",FALSE,0.38995670995671
"300",10,3,"rectangular",FALSE,0.391774891774892
