"","k","distance","kernel","scale","classif.ce"
"267",9,3,"gaussian",TRUE,0.346060606060606
"268",12,3,"inv",FALSE,0.348658008658009
"269",12,3,"gaussian",FALSE,0.348701298701299
"270",9,2,"rectangular",TRUE,0.34965367965368
"271",7,3,"rectangular",FALSE,0.352207792207792
"272",10,2,"rectangular",TRUE,0.352380952380952
"273",14,2,"gaussian",FALSE,0.353333333333333
"274",12,2,"inv",FALSE,0.354199134199134
"275",14,3,"gaussian",FALSE,0.355108225108225
"276",15,3,"gaussian",FALSE,0.356969696969697
"277",12,2,"gaussian",FALSE,0.357056277056277
"278",7,2,"rectangular",TRUE,0.357099567099567
"279",7,2,"rectangular",FALSE,0.35978354978355
"280",7,3,"rectangular",TRUE,0.360865800865801
"281",12,2,"rectangular",TRUE,0.362597402597403
"282",10,3,"rectangular",TRUE,0.362727272727273
"283",9,3,"rectangular",TRUE,0.362900432900433
"284",14,2,"rectangular",TRUE,0.366450216450216
"285",15,3,"inv",FALSE,0.368181818181818
"286",14,3,"inv",FALSE,0.369090909090909
"287",15,2,"rectangular",TRUE,0.371038961038961
"288",9,3,"rectangular",FALSE,0.371038961038961
"289",12,3,"rectangular",TRUE,0.373982683982684
"290",9,2,"rectangular",FALSE,0.376580086580087
"291",10,2,"rectangular",FALSE,0.381298701298701
"292",10,3,"rectangular",FALSE,0.381341991341991
"293",14,3,"rectangular",TRUE,0.382467532467532
"294",15,3,"rectangular",TRUE,0.388961038961039
"295",15,2,"rectangular",FALSE,0.391428571428571
"296",14,2,"rectangular",FALSE,0.395194805194805
"297",12,3,"rectangular",FALSE,0.398138528138528
"298",12,2,"rectangular",FALSE,0.405584415584416
"299",15,3,"rectangular",FALSE,0.42021645021645
"300",14,3,"rectangular",FALSE,0.42038961038961
