cve_ent,poblacion,nombre,casos
7035,15741,Frontera Hidalgo,46
10033,6766,Suchil,78
10034,27368,Tamazula,175
10035,11545,Tepehuanes,130
18007,20016,Jala,235
18008,62038,Xalisco,1392
18009,45317,Del Nayar,194
7053,8552,Mazapa de Madero,19
11010,12998,Coroneo,739
11011,101319,Cortazar,2516
11012,29959,Cueramaro,928
11013,25606,Doctor Mora,555
11014,160771,Dolores Hidalgo Cuna de la Independencia Nacional,3914
11015,198035,Guanajuato,7336
11016,22612,Huanimaro,407
11017,610700,Irapuato,18796
11018,41154,Jaral del Progreso,1655
11019,51332,Jerecuaro,1618
11020,1679610,Leon,62438
11021,54378,Moroleon,2103
11022,24758,Ocampo,785
11023,159968,Penjamo,2958
7054,31856,Mazatan,103
11025,86012,Purisima del Rincon,1574
11026,62603,Romita,1525
11027,293293,Salamanca,8796
11028,106978,Salvatierra,4173
11029,41588,San Diego de la Union,1443
11030,118417,San Felipe,2975
11031,125904,San Francisco del Rincon,3382
11032,83562,San Jose Iturbide,2193
11033,127678,San Luis de la Paz,3581
11034,5584,Santa Catarina,86
11035,88644,Santa Cruz de Juventino Rosas,2336
11036,7327,Santiago Maravatio,498
11037,201020,Silao de la Victoria,4326
7055,6191,Metapa,33
11041,67184,Uriangato,2388
11042,153094,Valle de Santiago,4181
11043,21521,Victoria,469
11044,62918,Villagran,1603
11045,12285,Xichu,252
11046,73948,Yuriria,1619
12001,840795,Acapulco de Juarez,29533
12002,27366,Ahuacuotzingo,254
12003,38895,Ajuchitlan del Progreso,324
12004,20112,Alcozauca de Guerrero,109
18011,26928,Ruiz,369
18012,48024,San Blas,869
18013,8231,San Pedro Lagunillas,72
18014,25510,Santa Maria del Oro,216
18015,106038,Santiago Ixcuintla,2015
18016,43043,Tecuala,562
18017,445889,Tepic,16919
18018,33358,Tuxpan,648
18019,14962,La Yesca,40
18020,174510,Bahia de Banderas,6652
20051,4782,Magdalena Teitipac,9
13028,139683,Huejutla de Reyes,1474
15013,557108,Atizapan de Zaragoza,12040
16031,17519,Epitacio Huerta,73
7056,13286,Mitontic,15
7057,79732,Motozintla,139
12005,6959,Alpoyeca,102
12006,11719,Apaxtla,33
7058,4726,Nicolas Ruiz,5
7059,239322,Ocosingo,205
12007,32547,Arcelia,385
